List of Listed Companies & Contact Information,,,,,,As of 08 May 2023,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
APEX,APEX DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"No. 900 TONSON TOWER, 18th Floor, Zone A Phloen Chit Road, Lumphini Sub-district, Pathum Wan District Bangkok",10330,"08-1483-2400, 08-1665-2400",-,www.apexpcl.com
APP,APPLICAD PUBLIC COMPANY LIMITED,mai,Technology,-,"69 Soi Sukhumvit 68, Sukhumvit Rd., Bangna Nuea, Bangna Bangkok",10260,0-2744-9045,0-2744-9049,www.applicadthai.com
APURE,AGRIPURE HOLDINGS PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"The Ruamjaipattana Foundation Building No. 70 Moo 6 Klong 1 District, Klongluang Pathum Thani",12120,0-2516-0941-45,0-2516-0946,http://www.apureholdings.com
AQ,AQ ESTATE PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"102 Rimklong Bangkapi Road, Bangkapi, Huai Khwang Bangkok",10310,0-2033-5555,0-2033-5566,www.aqestate.com
AQUA,AQUA CORPORATION PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"R.S. TOWER, FLOOR 21, 121/68-69 RATCHADAPISEK ROAD, DIN DAENG Bangkok",10400,0-2041-8888,-,www.aquacorp.co.th
ARIN,ARINSIRI LAND PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"49/82 Bang Saen Sai 4 Nue Rd., Saen Suk, Muang Chonburi",20130,0-3819-1581,0-3819-1681,www.arinsiri.com
ARIP,ARIP PUBLIC COMPANY LIMITED,mai,Services,-,"No. 99/16-20 Ratchadapisek Road, Din-Daeng Bangkok",10320,0-2642-3400,0-2642-3440,http://www.aripplc.com
ARROW,ARROW SYNDICATE PUBLIC COMPANY LIMITED,mai,Property & Construction,-,31 Moo 1 Phanthong Chonburi,20160,0-3874-0371-4,0-3874-0150,www.arrowpipe.com
AS,ASIASOFT CORPORATION PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"No.51, Major Tower Rama 9 - Ramkumhang, 18th Floor, Room No. 3 - 8, Rama 9 Road, Hua Mak Sub-District, Bangkapi District Bangkok",10240,0-2769-8888,0-2090-2730,http://as-th.listedcompany.com
ASAP,SYNERGETIC AUTO PERFORMANCE PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"149 Moo 3 Theparak Road, Theparak, Muang Samutprakarn Samut Prakarn",10270,0-2091-8181,0-2091-8111,http://www.asapcarrent.com
ASEFA,ASEFA PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,"5 Moo 1, Rama II Road, Khok-krabue, Muang Samutsakhon Samut Sakhon",74000,0-2686-7777,0-2686-7788,www.asefa.co.th
ASIA,ASIA HOTEL PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,"296 PHAYATHAI ROAD, PHAYA THAI Bangkok",10400,0-2217-0808,0-2215-2645,www.asiahotel.co.th
ASIAN,ASIAN SEA CORPORATION PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"55/2 MOO 2 RAMA II ROAD, TAMBOL BANGKRAJAO, AMPHOE MUEANG Samut Sakhon",74000,"0-3482-2204-7, 0-3482-2700-6","0-3482-2407, 0-3482-2698-9, 0-3482-2706",www.asiansea.co.th
ASIMAR,ASIAN MARINE SERVICES PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"No. 128 Mu 3 Suksawad Rd., Laemfapa, PraSamutjedee Samut Prakarn",10290,0-2815-2060-67,0-2453-7213-4,www.asimar.com
ASK,ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"SATHORN CITY TOWER BUILDING, FLOOR 24, 175 SOUTH SATHORN ROAD, THUNGMAHAMEK, SATHON Bangkok",10120,"0-2679-6226, 0-2679-6262",0-2679-6241-3,www.ask.co.th
ASN,ASN BROKER PUBLIC COMPANY LIMITED,mai,Financials,-,"388 IBM Tower, 16th Floor, Zone B, Phaholyothin Road, Samsennai, Phayathai Bangkok",10400,0-2494-8388,0-2619-2296,http://www.asnbroker.co.th
ASP,ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"SATHORN CITY TOWER, FLOOR 3,9 and 11, 175 SOUTH SATHORN ROAD, SATHON Bangkok",10120,"0-2285-1888, 0-2680-1111",0-2285-1901-2,www.asiaplusgroup.co.th
ASW,ASSETWISE PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"9 Soi Ramintra 5 Junction 23, Anusawari, Bang Khen Bangkok",10220,0-2521-9533-35,-,www.assetwise.co.th
ATP30,ATP30 PUBLIC COMPANY LIMITED,mai,Services,-,"9/30 Moo 9 Bangnang, Panthong Chonburi",20160,0-3846-8788,0-3846-8788,http://www.atp30.com
AU,AFTER YOU PUBLIC COMPANY LIMITED,mai,Agro & Food Industry,-,"1319/9 Pattanakarn Road Suan Luang Sub District ,Suan Luang District Bangkok",10250,0-2318-4488,0-2318-1022,www.afteryoudessertcafe.com
AUCT,UNION AUCTION PUBLIC COMPANY LIMITED,mai,Services,-,518/28 Soi Ramkhamhaeng 39 (Thepleela 1) Wangthonglang Bangkok,10310,0-2033-6555,0-2935-6202,www.auct.co.th
AURA,Aurora Design Public Company Limited,SET,Consumer Products,Fashion,"444 Soi Udomsuk 26, Bangna Nuea, Bangna Bangkok",10260,0-2749-5044,-,http://www.auroradesign.co.th
AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"54th Floor, Empire Tower, No. 1 South Sathorn Road, Yannawa, Sathorn Bangkok",10120,0-2180-9999,0-2180-9966,https://www.assetworldcorp-th.com
AYUD,ALLIANZ AYUDHYA CAPITAL PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"PLOENCHIT TOWER, FLOOR 7, 898 PLOENCHIT ROAD, LUMPINI, PATHUM Bangkok",10330,0-2657-2970,0-2657-2971,www.ayud.co.th
B,BEGISTICS PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"52 Thaniya Plaza Building 28th Floor, Silom Road, Suriyawongse, Bangrak Bangkok",10500,0-2096-4999,-,WWW.BEGISTICS.CO.TH
